C[C@H]([C@@H](C)Cl)Cl,2.3,C,6
C(C=CBr)N,0.3,C,6.0
CCC(CO)Br,1.3,C,6.0
[13CH3][13CH2][13CH2][13CH2][13CH2][13CH2]O,2.0,C,6.0
CCCOCCP,0.6,H,1.0
C(C(F)(F)F)F,1.7,C,6.0
[2H]C([2H])C(C)(C)Cl,1.8,F,9.0
CCCC(CI)O,2.0,C,6.0
CCCCCC[CH+]C,3.9,C,6.0
C(CO)NCCO,-1.4,C,6.0
CCCCP(C)P,1.1,C,6.0
C(O)OOOCO,-1.0,C,6.0
C1CC1CCP,1.4,O,8.0
COCCC(Cl)Cl,1.8,C,6.0
[2H]C1=CSC=C1[2H],1.8,C,6.0
CCCCCl,2.6,C,6.0
C(=O)C(N)Br,-0.3,C,6.0
C(=S)(S)[S-],1.5,C,6.0
C(C(CBr)S)Br,2.1,S,16.0
CCSCCCCN,1.0,C,6.0
CC(C)C(C)O,1.3,C,6.0
CCCOC(C)N,0.6,C,6.0
CCC[I-]I,3.5,C,6.0
CC[CH]CC(C)CC,4.3,C,6.0
CN(C)CCCBr,1.4,C,6.0
C(CO)COS,0.2,C,6.0
CC(C)NCCl,1.3,C,6.0
C=CC(P)P,0.4,C,6.0
COCCl,0.8,C,6.0
C(SF)SF,1.9,C,6.0
CC(=S)P,0.3,S,16.0
C[I-]CON,0.7,C,6.0
CCC[C@@H](CN)N,-0.3,C,6.0
C(F)(F)(S)Cl,2.0,C,6.0
CC(CO)SO,-0.3,F,9.0
CC(=C)CCl,2.1,C,6.0
CCI(C)NC,1.6,C,6.0
C(=S)(S)I,1.8,C,6.0
[2H]C(C(C)(C)C)N,1.0,S,16.0
CC(C(F)F)F,1.9,C,6.0
C(CP)CP,-0.1,C,6.0
C[C@H](CNC)OC,0.1,C,6.0
C(N)(S)S,0.1,C,6.0
COOOBr,1.1,S,16.0
C(CS)CBr,1.6,O,8.0
CC=PP,-1.1,C,6.0
CCC(C)CCF,2.8,C,6.0
CCCNP(C)C,0.6,C,6.0
C(N)(N)NP,-2.0,C,6.0
C[C@H](CCN)CO,-0.2,N,7.0
C(CSCCCl)N,0.5,C,6.0
C1CSSS1,1.1,C,6.0
CCC(NC)Cl,1.4,S,16.0
C(CC=S)CO,-0.1,C,6.0
COCCNPF,0.1,C,6.0
[2H]C([2H])([2H])C(C)(C)CO,1.3,C,6.0
[2H]C(P([3H])C)I,0.7,C,6.0
[2H]C([2H])([2H])C([2H])([2H])C([2H])([2H])CO,0.9,H,1.0
C1CC1OI,1.5,H,1.0
C([C@H](F)Br)O,0.8,C,6.0
CS(N)(Cl)Cl,1.7,C,6.0
[CH]C[C@H](CO)O,-0.2,Cl,17.0
CNCCN(C)N,-0.9,C,6.0
C(OS)OSI,1.8,C,6.0
C(P)P=O,-1.0,O,8.0
CC(C)N(F)F,1.2,P,15.0
CCC(C)OCO,0.8,C,6.0
CC(F)(F)Br,2.1,C,6.0
C[S+](C)CCO,0.2,C,6.0
[2H]C([2H])(C)CI,2.6,C,6.0
C(O)OOC=O,-0.4,C,6.0
C(OOSF)F,1.5,O,8.0
CC(C=C)S,1.6,O,8.0
CCC(C)CC[NH3+],1.5,C,6.0
CC(C)CCOCl,2.6,C,6.0
CN(C)NN(C)C,0.3,C,6.0
CCCCOC,1.7,C,6.0
CSOSS,1.4,C,6.0
C[NH2+]/C=C\S,0.6,S,16.0
CCCCCC[CH]C,3.9,C,6.0
CCC(C)[CH+]C,3.2,C,6.0
C1CO[PH2+]C1,0.1,C,6.0
CCC(CO)S,0.8,C,6.0
C=II,2.3,C,6.0
C1C(CO1)Cl,0.5,I,53.0
[2H]C(CCO)CO,-0.8,C,6.0
CNC(=S)[S-],0.7,C,6.0
C[C@H](CS)NC,0.5,C,6.0
C(O)OCS,-0.1,C,6.0
C[C@H](N)NI,-0.3,C,6.0
C[C@H]([C@H](C)S)S,1.7,C,6.0
C(C(CF)Cl)F,1.6,C,6.0
[3H]OOCCCCCC,1.9,C,6.0
C(S)[I-]S,1.8,C,6.0
CSCCCl,1.5,S,16.0
CCOC(N)N,-1.2,C,6.0
C=IC(S)S,2.1,C,6.0
CS(=S)O,2.2,C,6.0
CCCPCCC,1.7,S,16.0
COP(C)Cl,0.8,C,6.0
C(CN[NH3+])N[NH3+],-2.1,C,6.0
CP([O-])S,-0.2,H,1.0
CC(C)C(I)I,3.3,C,6.0
C1CNPN1,-0.8,C,6.0
CCC(C)C(C)C,3.4,C,6.0
CC1CC[C]C1,3.4,C,6.0
CCCCCOC,1.9,C,6.0
C(C(F)(F)F)O,0.4,C,6.0
C=CNSCN,0.4,F,9.0
[2H]CC([2H])([2H])C([2H])([2H])C([2H])([2H])Br,2.8,C,6.0
COCCNCN,-1.2,H,1.0
C[C@@H](CCCO)O,0.0,C,6.0
CCCC(CCC)Br,3.6,C,6.0
CCCOCl,1.8,C,6.0
CC(CCNC)Cl,1.2,C,6.0
CCN(C)SS,1.6,C,6.0
CC(C)(C)SI,2.7,C,6.0
COCCSPO,-0.3,C,6.0
C(NCF)F,0.7,C,6.0
[2H]C([2H])([2H])CCCCBr,3.4,C,6.0
CC(C)([CH])C[CH],3.0,C,6.0
C(F)(F)(F)SS,2.2,C,6.0
CCO[C@H](C)CO,0.2,F,9.0
CCC=C.CC=CC,4.2,C,6.0
CCC[C@@H](C)[NH3+],1.0,C,6.0
CN(C)COO,-0.3,C,6.0
C(=O)(N)I,0.0,C,6.0
CC(C)NCCBr,1.4,C,6.0
CCCOCCl,1.7,C,6.0
C([C@H](F)Cl)Cl,1.9,C,6.0
CCSNSC,1.0,C,6.0
C[C]/C=C\[S-],1.7,C,6.0
CC(OC)Cl,1.2,C,6.0
CCNCI=N,1.5,C,6.0
CCS[S-],1.3,C,6.0
C(CPCP)PCP,-0.8,C,6.0
[2H]N([2H])CCCCN,-0.9,C,6.0
CCC[C@H](C)S,2.2,C,6.0
[3H]C1CCCNC1,0.8,C,6.0
C[C@H](COP)O,-0.3,C,6.0
C(CCO)CCBr,1.4,C,6.0
C([C+]=O)Br,0.5,C,6.0
CCCN(C)P,1.0,C,6.0
C(C(S)(S)S)O,0.5,C,6.0
CCCSCSC,2.5,S,16.0
CCCC(C)CO,1.8,C,6.0
C[C@H](CO)NP,-0.6,C,6.0
CSCSC=S,2.0,C,6.0
CCCC[C+](C)C,3.7,C,6.0
CONCI,0.6,C,6.0
COSS,1.0,C,6.0
C[C@@H](CN)NC,-0.7,S,16.0
C(CCF)CON,0.4,C,6.0
CC(C)OOCO,0.3,C,6.0
C(COP)CBr,1.1,C,6.0
C(CS)OCO,-0.2,C,6.0
C(O)[I-]S,0.8,C,6.0
CC(COC)NC,0.1,C,6.0
C[11CH-]I,2.1,C,6.0
C1C[SH+]CCO1,0.5,C,6.0
CC(CCF)NC,0.9,C,6.0
CC(C(F)F)Cl,2.1,C,6.0
[2H][12C]([2H])([2H])I,1.5,C,6.0
C(COCCN)N,-1.8,H,1.0
C(N)[I-]F,0.6,C,6.0
C(COCCO)O,-1.3,C,6.0
CC[C@@H](CCCl)Cl,2.7,C,6.0
C(C(F)(F)F)N,0.2,C,6.0
CCNNNNI,-0.2,F,9.0
CCSOOOS,1.5,N,7.0
CC[C@@H](C)CCS,2.7,O,8.0
C(N)(O)(F)F,-0.5,C,6.0
[CH2]C(F)(F)F,1.7,F,9.0
C[CH]CCC(C)C,3.7,F,9.0
C1CCPPCC1,0.7,C,6.0
C1CC[N-]CC1,0.8,C,6.0
C1CCSOC1,1.0,C,6.0
[2H]OCCSSCCO[2H],-0.5,C,6.0
CCCCCSBr,3.2,C,6.0
CCCN(C)C[18F],1.6,C,6.0
CC(O)P=O,-1.0,C,6.0
CCSC[C]=O,0.8,C,6.0
C([C@H](F)Br)Br,2.3,C,6.0